[ 91.1, 97.6 ],   [ 88.2, 103.2 ],  [ 99.4, 105.9 ],
    [ 95.4, 110.4 ],  [ 84.7, 111.8 ],  [ 79.9, 105.4 ],
    [ 92.7, 112 ],    [ 105, 126.2 ],   [ 102.3, 125.4 ],
    [ 93.5, 122.7 ],  [ 90.5, 121.5 ],  [ 90.1, 121 ],
    [ 90.6, 120.9 ],  [ 97.5, 120.6 ],  [ 101.6, 120.6 ],
    [ 115.7, 123.8 ], [ 112.5, 128.9 ], [ 114.4, 112.3 ],
    [ 109.3, 109.1 ], [ 111.7, 116.6 ], [ 122.7, 114.5 ],
    [ 123.5, 107.2 ], [ 118.9, 117.9 ], [ 135.5, 138.2 ],
    [ 125.6, 135.6 ], [ 131.8, 125.4 ], [ 110.1, 128.4 ],
    [ 99.7, 128.9 ],  [ 108.8, 139.3 ], [ 106.1, 124.1 ],
    [ 84.5, 138 ],    [ 104, 155.1 ],   [ 85, 158.3 ],
    [ 109.8, 144.1 ], [ 83.7, 135 ],    [ 57.2, 131.8 ],
    [ 66.3, 142.8 ],  [ 72.7, 119.5 ],  [ 81.2, 115.8 ],
    [ 87.7, 129.4 ],  [ 73.2, 119.8 ],  [ 103.4, 124.6 ],
    [ 97, 130.8 ],    [ 91.1, 97.6 ]
